"","X.1","X","Summons.Number","Plate.ID","Registration.State","Plate.Type","Issue.Date","Violation.Code","Vehicle.Body.Type","Vehicle.Make","Issuing.Agency","Street.Code1","Street.Code2","Street.Code3","Vehicle.Expiration.Date","Violation.Location","Violation.Precinct","Issuer.Precinct","Issuer.Code","Issuer.Command","Issuer.Squad","Violation.Time","Time.First.Observed","Violation.County","Violation.In.Front.Of.Or.Opposite","House.Number","Street.Name","Intersecting.Street","Date.First.Observed","Law.Section","Sub.Division","Violation.Legal.Code","Days.Parking.In.Effect","From.Hours.In.Effect","To.Hours.In.Effect","Vehicle.Color","Unregistered.Vehicle.","Vehicle.Year","Meter.Number","Feet.From.Curb","Violation.Post.Code","Violation.Description","No.Standing.or.Stopping.Violation","Hydrant.Violation","Double.Parking.Violation","Latitude","Longitude","Community.Board","Community.Council","Census.Tract","BIN","BBL","NTA"
"795",795,6616041,7405123790,"GMX3433","NY","PAS","04/03/2014",20,"SUBN","HONDA","T",42820,27870,29320,"20160130",52,52,52,358909,"T201","G","0456P","","BX","O","3479","Jerome Ave","","0",408,"d",NA,"Y","0800A","0600P","GREY",NA,2001,"",0,"32 2","20A-No Parking (Non-COM)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"796",796,3569484,7069829917,"651VY3","MA","PAS","12/05/2013",38,"SUBN","KIA","T",14180,35230,28830,"20130088",70,70,70,358125,"T302","G","0133P","","K","O","1010","Avenue L","","0",408,"h1",NA,"YYYYY","0900A","0700P","BLACK",NA,0,"",0,"05 -","38-Failure to Display Muni Rec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"797",797,900085,7037386388,"L55CCH","NJ","PAS","09/13/2013",37,"SUBN","TOYOT","T",10010,18050,18070,"88888888",17,17,17,358128,"T503","E1","0413P","0405P","NY","F","967","1st Ave","","20130913",408,"h1",NA,"Y","0900A","0700P","GREY",NA,0,"126-7784",0,"17 -","37-Expired Muni Meter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"798",798,6312651,7792342682,"ESD7850","NY","PAS","03/15/2014",50,"4DSD","HONDA","T",0,0,0,"20150503",110,110,110,357365,"T401","A","1040A","","Q","I","S","National St","0ft W/of 41st Ave","0",408,"e5",NA,"","","","GREEN",NA,2009,"",0,"51-A","50-Crosswalk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"799",799,5720965,7183515989,"GFD7010","NY","PAS","03/08/2014",71,"4DSD","CHEVR","T",36420,27300,29220,"20150216",46,46,46,357349,"T201","J","0900A","","BX","F","2476","Grand Concourse","","0",408,"j6",NA,"YYYYYYY","","","GREY",NA,2012,"",0,"19 2","71A-Insp Sticker Expired (NYS)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"800",800,6811545,1356720560,"FSC7912","NY","PAS","03/12/2014",46,"SDN","INFIN","P",53790,23290,65325,"20151116",103,103,103,934697,"0103","0000","0920A","","Q","F","150-37","LIBERTY AVE","","0",408,"C3",NA,"BBBBBBB","ALL","ALL","BLACK",0,2008,"-",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"801",801,535414,7088761920,"DFM6403","NY","PAS","08/15/2013",38,"4DSD","LEXUS","T",6680,8780,8830,"20150518",66,66,66,358611,"T302","F","0135P","","K","F","4420","16th Ave","","0",408,"h1",NA,"YYYY","0900A","0700P","GREY",NA,2011,"",0,"01 -","38-Failure to Display Muni Rec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"802",802,3359608,7753089298,"EFK2590","NY","PAS","11/21/2013",21,"SUBN","FORD","T",0,0,0,"20140117",45,45,45,353529,"T202","X","0910A","","BX","I","N","Asch Loop","100ft E/of Adler Pl","0",408,"d1",NA,"Y","0830A","1000A","GREY",NA,2005,"",0,"I -","21-No Parking (street clean)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"803",803,6119323,7119964847,"AJK4924","NY","PAS","03/14/2014",38,"SUBN","CHEVR","T",59990,9490,9640,"20150824",108,108,108,352045,"T803","B","0954P","","Q","F","40-18","Queens Blvd","","0",408,"h1",NA,"YYYYY","0700P","1000P","BLACK",NA,2008,"",0,"E 42","38-Failure to Display Muni Rec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"804",804,1085317,7687001254,"BJL2571","NC","PAS","09/03/2013",38,"4DSD","MAZDA","T",8390,6590,42490,"20140288",114,114,114,358209,"T401","H","1256P","","Q","O","2177","33rd St","","0",408,"h1",NA,"Y","0900A","0700P","GREEN",NA,0,"",0,"34 -","38-Failure to Display Muni Rec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"805",805,8332362,7094258770,"XAFW51","NJ","PAS","06/24/2014",50,"VAN","FORD","T",13610,26630,20425,"20140088",1,1,1,358187,"T105","C","0216P","","NY","F","56","Broadway","","0",408,"e5",NA,"","","","WHITE",NA,0,"",0,"103","50-Crosswalk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"806",806,5762436,7359103680,"GDU4127","NY","PAS","03/20/2014",71,"SUBN","NISSA","T",21820,27360,27390,"20150101",52,52,52,357790,"T201","C","1039A","","BX","F","2532","Creston Ave","","0",408,"j6",NA,"YYYYYYY","","","BLACK",NA,2013,"",0,"03 2","71A-Insp Sticker Expired (NYS)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"807",807,6803324,7962743797,"GHL9461","NY","PAS","04/05/2014",38,"4DSD","NISSA","T",0,0,0,"20150620",106,106,106,350334,"T402","R","0606P","","Q","F","137-20","Van Wicklen Rd","","0",408,"h1",NA,"Y","0900A","0700P","GREY",NA,0,"",0,"O 42","38-Failure to Display Muni Rec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"808",808,5409215,7092695650,"FAD5390","NY","PAS","02/11/2014",74,"4DSD","ME/BE","T",6290,0,0,"20140430",109,109,109,331777,"T401","N","0925P","","Q","I","N","19th Ave","5ft E/of Parsons Blv","0",408,"j2",NA,"","","","GREY",NA,2009,"",0,"D -","74-Missing Display Plate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"809",809,1755821,7112742286,"GGB3531","NY","PAS","10/24/2013",37,"SUBN","KIA","T",13610,35930,35950,"20150630",24,24,24,355660,"T103","Q","0452P","0425P","NY","F","2812","Broadway","","0",408,"h1",NA,"Y","0800A","1000P","GREY",NA,2014,"121-8173",0,"52 -","37-Expired Muni Meter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"810",810,3705256,7603558360,"GEX3477","NY","PAS","12/02/2013",21,"SUBN","NISSA","T",33520,26340,46820,"20150327",41,41,41,358191,"T202","E","1149A","","BX","O","774","Fox St","","0",408,"d1",NA,"Y  Y","1130A","0100P","GREY",NA,0,"",0,"17A","21-No Parking (street clean)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"811",811,2884432,7705585844,"GJY9747","NY","PAS","11/15/2013",38,"VAN","FORD","T",67530,54050,73030,"20151112",61,61,61,353198,"T302","B","0948A","","K","F","2115","Ocean Ave","","0",408,"h1",NA,"Y","0900A","0700P","WHITE",NA,2008,"",0,"34 -","38-Failure to Display Muni Rec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"812",812,8964383,7776328625,"EWV2442","NY","PAS","06/19/2014",40,"SUBN","ACURA","T",8930,5780,5880,"20160515",72,72,72,331245,"T302","L","0717A","","K","F","755","47th St","","0",408,"e2",NA,"YYYYYYY","","","GREY",NA,2004,"",0,"J 32","40-Fire Hydrant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"813",813,1043993,7582268787,"GEX6829","NY","PAS","09/10/2013",21,"4DSD","BMW","T",77150,14420,49170,"20150501",49,49,49,356325,"T202","O","0739A","","BX","F","2084","White Plains Rd","","0",408,"d1",NA,"Y","0730A","0800A","BLACK",NA,1998,"",0,"C -","21-No Parking (street clean)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"814",814,964138,7147179470,"CYJ6217","NY","PAS","09/14/2013",38,"2DSD","FORD","T",35690,9540,54102,"20140722",111,111,111,358589,"T401","I","1239P","","Q","F","41-08","Bell Blvd","","0",408,"h1",NA,"Y","0900A","0700P","GREY",NA,2001,"",0,"44-P","38-Failure to Display Muni Rec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"815",815,1224396,1347742037,"EYE2553","NY","PAS","09/09/2013",46,"SDN","CHEVR","X",41930,31530,54130,"20150822",79,79,79,924388,"0079","0000","0854P","","K","F","263","FRANKLIN AVE","","0",408,"F1",NA,"BBBBBBB","ALL","ALL","GREY",0,2005,"-",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"817",817,7213684,7807569359,"FWG2365","NY","PAS","04/09/2014",71,"4DSD","ME/BE","T",24240,49690,18040,"20140506",103,103,103,353995,"T402","G","1039A","","Q","O","88-45","164th St","","0",408,"j6",NA,"YYYYYYY","","","BLACK",NA,2013,"",0,"05 4","71A-Insp Sticker Expired (NYS)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"818",818,5174476,7610814167,"XY111X","NJ","PAS","02/07/2014",14,"DELV","ISUZU","T",17970,0,0,"88880088",18,18,18,355079,"T102","H","0910A","","NY","I","S","E 49th St","30ft E/of Madison Av","0",408,"c",NA,"YYYYYYY","","","WHITE",NA,0,"",0,"MC -","14-No Standing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"819",819,4899052,7938681829,"DEMAR3","NY","COM","01/24/2014",37,"VAN","FORD","T",20090,13810,16310,"20150731",5,5,5,358936,"T101","F","1241P","1115A","NY","O","132","Eldridge St","","20140124",408,"h1",NA,"Y","0900A","0700P","WHITE",NA,2008,"102-4085",0,"74 -","37-Expired Muni Meter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"820",820,8588393,8003056822,"GPJ1138","NY","PAS","06/12/2014",40,"SUBN","JEEP","T",18850,25390,27790,"20160402",19,19,19,356261,"T103","AA","0551A","","NY","O","71","E 94th St","","0",408,"e2",NA,"YYYYYYY","","","BLACK",NA,2014,"",2,"D 77","40-Fire Hydrant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"821",821,652736,7534376233,"DSC7582","NY","PAS","08/07/2013",14,"4DSD","TOYOT","T",68930,5280,5430,"20140521",84,84,84,330544,"T301","B","1057A","","K","O","544","Pacific St","","0",408,"c",NA,"YYYYY","0700A","0400P","GREY",NA,2009,"",0,"06 -","14-No Standing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"822",822,7539838,7390715959,"GDR6111","NY","PAS","05/01/2014",46,"4DSD","AUDI","T",18690,10210,10110,"20150310",19,19,19,356491,"T103","Q","0331P","","NY","F","217","E 85th St","","0",408,"f1",NA,"","","","GOLD",NA,2006,"",0,"16 7","46A-Double Parking (Non-COM)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"823",823,4390,1342281263,"EVR8192","NY","PAS","07/25/2013",21,"SDN","HONDA","S",15540,8790,8890,"20140105",115,115,0,979794,"QW03","0000","0736A","","Q","O","37-45","73 ST","","0",408,"D1",NA,"YYYYYBB","0730A","0800A","BLACK",0,2010,"-",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"824",824,4878319,7883985413,"AJ815Y","NJ","PAS","01/06/2014",14,"FLAT","INTER","T",34710,10410,10510,"20140488",18,18,18,348520,"T106","A","0736A","","NY","F","10","W 47th St","","0",408,"c",NA,"YYYYY","0700A","0200P","RED",NA,0,"",0,"G -","14-No Standing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"825",825,1327292,7096409816,"ATMJ76","FL","PAS","09/06/2013",20,"4DSD","MITSU","T",8740,37290,8440,"20130988",114,114,114,358606,"T401","I","0539P","","Q","F","32-16","36th St","","0",408,"d",NA,"YYYYY","0800A","0600P","BLUE",NA,0,"",0,"26 -","20A-No Parking (Non-COM)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"826",826,7884776,7118314365,"FWM6771","NY","PAS","05/05/2014",37,"SUBN","FORD","T",14830,36030,36080,"20140622",61,61,61,358625,"T302","F","1100A","1034A","K","F","2754","Avenue Y","","0",408,"h1",NA,"Y","0900A","0700P","WHITE",NA,2009,"306-3020",0,"15 3","37-Expired Muni Meter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"827",827,6705659,7733884111,"GGT1232","NY","PAS","04/17/2014",14,"4DSD","FORD","T",56530,47100,64330,"20150508",84,84,84,358668,"T301","H","0620P","","K","F","301","Livingston St","","0",408,"c",NA,"YYYYY","0400A","0700P","GREY",NA,2013,"",0,"210J","14-No Standing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"828",828,5471159,7622770279,"11971JY","NY","COM","01/29/2014",14,"UTIL","GMC","T",51090,23140,23190,"88888888",103,103,103,356342,"T402","E","0412P","","Q","F","148-13","Jamaica Ave","","0",408,"c",NA,"YYYYY","0400P","0700P","WHITE",NA,2007,"",0,"10 -","14-No Standing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"830",830,4335712,7205595605,"S41DRN","NJ","PAS","01/16/2014",21,"4DSD","HONDA","T",9680,10625,5430,"88888888",72,72,72,355151,"T302","Q","1136A","","K","F","371","62nd St","","0",408,"d1",NA,"Y","1130A","0100P","GREY",NA,0,"",0,"C1 -","21-No Parking (street clean)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"831",831,6465329,1369291632,"GLR5906","NY","PAS","03/24/2014",27,"SDN","NISSA","P",44750,35560,35680,"20151208",121,121,121,922115,"0121","0000","1142A","","R","F","1441","RICHMOND AVE","","0",408,"C",NA,"BBBBBBB","ALL","ALL","GREY",0,2008,"-",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"832",832,8447509,7660571590,"NETS","NY","RGL","06/25/2014",40,"CONV","MINI","T",17050,10110,10010,"20150522",9,9,9,351212,"T800","B2","0909P","","NY","F","42","E 3rd St","","0",408,"e2",NA,"YYYYYYY","","","BLACK",NA,2013,"",7,"A 77","40-Fire Hydrant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"833",833,5550694,7992622807,"16218PC","NY","IRP","02/25/2014",19,"DELV","VOLVO","T",10210,18830,18850,"20140331",19,19,19,358643,"T103","P","0441P","","NY","O","1670","3rd Ave","","0",408,"c3",NA,"YYYYYYY","","","WHITE",NA,2009,"",0,"18 7","19-No Stand (bus stop)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"834",834,7455531,7115921969,"56672MA","NY","COM","05/08/2014",20,"VAN","FORD","T",18810,10010,45590,"20160430",19,19,19,357094,"T103","H","0257P","0202P","NY","O","430","E 91st St","","20140508",408,"d",NA,"YYYYY","0800A","0600P","GREY",NA,2012,"",0,"C 77","20-No Parking (Com Plate)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"835",835,7523448,7428274114,"XW964P","NJ","PAS","05/13/2014",37,"PICK","FORD","T",25390,18350,18370,"88880088",19,19,19,358939,"T103","S","0339P","0316P","NY","F","815","Madison Ave","","20140513",408,"h1",NA,"YYYYY","1000A","0400P","WHITE",NA,0,"118-4567",0,"55 7","37-Expired Muni Meter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"837",837,2402334,7580591870,"FDE4005","NY","PAS","10/27/2013",74,"SUBN","ROVER","T",24400,32685,97510,"20140630",1,1,1,351929,"T105","C","1207P","","NY","F","28","Laight St","","0",408,"j2",NA,"","","","BLACK",NA,2011,"",0,"011","74-Missing Display Plate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"838",838,5209984,7703844366,"GDT1635","NY","PAS","02/01/2014",71,"4DSD","VOLKS","T",86630,77930,85530,"20141206",67,67,67,357770,"T302","G","0820A","","K","F","978","Utica Ave","","0",408,"j6",NA,"YYYYYYY","","","RED",NA,2013,"",0,"35 -","71A-Insp Sticker Expired (NYS)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"839",839,2171162,7076923658,"BNB5678","NY","PAS","10/25/2013",37,"SUBN","CHEVR","T",59990,0,0,"20140530",112,112,112,358121,"T401","N","0326P","0318P","Q","I","S","Queens Blvd","250ft E/of Yellowsto","0",408,"h1",NA,"Y","0830A","0700P","RED",NA,2002,"405-5349",0,"59-P","37-Expired Muni Meter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"840",840,7157564,7664147244,"EDA4822","NY","PAS","04/24/2014",38,"SUBN","CADIL","T",24890,18550,18570,"20151002",19,19,19,356961,"T103","S","0432P","","NY","F","1129","Lexington Ave","","0",408,"h1",NA,"YYYYY","1000A","0700P","BLACK",NA,2012,"",0,"C 77","38-Failure to Display Muni Rec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"841",841,5328432,1349538875,"BLW1282","NC","PAS","02/05/2014",46,"SDN","NISSA","P",95030,74030,62730,"0",90,90,90,927923,"0090","0000","0141P","","K","O","570","WYTHE AVE","","0",408,"F1",NA,"BBBBBBB","0  :","0  :","GREEN",0,0,"-",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"842",842,3260603,7509148625,"DYJ9832","NY","PAS","10/31/2013",21,"4DSD","HONDA","T",45930,52130,94730,"20150624",83,83,83,355638,"T301","E","1231P","","K","F","1407","Greene Ave","","0",408,"d1",NA,"Y  Y","1200A","0130P","WHITE",NA,2013,"",0,"11 -","21-No Parking (street clean)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"843",843,7220110,7814370218,"AGB8044","NY","PAS","04/16/2014",38,"4DSD","TOYOT","T",13610,35410,35430,"20150424",20,20,20,358635,"T103","P","0146P","","NY","F","2289","Broadway","","0",408,"h1",NA,"Y","0830A","1000P","WHITE",NA,2002,"",0,"38 7","38-Failure to Display Muni Rec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"844",844,5139628,7431890886,"GFC7088","NY","PAS","02/21/2014",38,"SUBN","JEEP","T",23290,0,0,"20150331",103,103,103,358887,"T402","B","0617P","","Q","I","W","150th St","80ft S/of 90th Ave","0",408,"h1",NA,"Y","0830A","0700P","GREY",NA,1993,"",0,"11 4","38-Failure to Display Muni Rec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"845",845,2477192,7792606156,"FWF5211","NY","PAS","10/28/2013",37,"SUBN","NISSA","T",64290,7790,7990,"20140207",114,114,114,358113,"T401","F","0310P","0258P","Q","F","30-52","Steinway St","","0",408,"h1",NA,"Y","0830A","0700P","GREY",NA,2004,"407-8605",0,"52-P","37-Expired Muni Meter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"846",846,7258879,7884139261,"29296MD","NY","COM","04/15/2014",47,"VAN","FORD","T",17310,10210,30090,"20150228",13,13,13,358870,"T102","J","0218P","","NY","F","200","E 16th St","","0",408,"l2",NA,"Y","0700A","0700P","WHITE",NA,2013,"",0,"99 6","47-Double PKG-Midtown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"847",847,8605713,1366675186,"EUN3770","NY","PAS","05/23/2014",21,"SDN","HONDA","S",39930,18950,39830,"20150830",75,75,0,972382,"KN04","0000","1110A","","K","F","19","EUCLID AVE","","0",408,"D1",NA,"BYBBYBB","1100A","1230P","BLACK",0,2006,"-",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"848",848,1505504,7699742771,"DHY3336","NY","PAS","09/14/2013",70,"4DSD","VOLKS","T",29830,5480,57630,"20130911",76,76,76,357803,"T302","B","1027A","","K","F","455","Court St","","0",408,"j3",NA,"YYYYYYY","","","BLUE",NA,2006,"",0,"55 -","70A-Reg. Sticker Expired (NYS)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"849",849,2529645,7897043356,"29037PC","NY","IRP","10/15/2013",47,"DELV","INTER","T",10210,17930,17950,"20131130",17,17,17,345388,"T106","C","0726A","","NY","F","766","3rd Ave","","0",408,"l2",NA,"Y","0700A","0700P","WHITE",NA,2013,"",0,"25 -","47-Double PKG-Midtown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"850",850,1576569,7899588753,"DNB2560","NY","PAS","09/17/2013",21,"PICK","NISSA","T",10410,17330,17350,"20140516",13,13,13,355212,"T102","A","0841A","","NY","F","105","5th Ave","","0",408,"d1",NA,"Y","0830A","0900A","GREY",NA,2006,"",0,"99 -","21-No Parking (street clean)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"851",851,2727354,7097844760,"68454JT","NY","COM","11/15/2013",38,"VAN","CHEVR","T",11710,36810,36830,"20150228",30,30,30,349570,"T103","B","0913A","","NY","F","1877","Amsterdam Ave","","0",408,"h1",NA,"Y","0830A","0700P","WHITE",NA,2005,"",0,"K -","38-Failure to Display Muni Rec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"852",852,317986,7821574296,"80913MA","NY","COM","07/31/2013",42,"VAN","FORD","T",34430,40404,40404,"20150630",14,14,14,345058,"T102","C","1049A","","NY","F","1PENPLAZ","W 33rd St","","0",408,"h1",NA,"Y","0800A","1200A","WHITE",NA,2011,"144-6201",0,"24 -","42-Exp. Muni-Mtr (Com. Mtr. Z)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"853",853,405855,7998715017,"PHX3475","GA","PAS","08/19/2013",20,"4DSD","HONDA","T",36790,11710,13610,"20130088",30,30,30,349850,"T103","AA","0812A","","NY","F","566","W 151st St","","0",408,"d",NA,"YYYYY","0800A","0500P","PURPLE",NA,0,"",0,"C -","20A-No Parking (Non-COM)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"854",854,5899494,7813557220,"GJX6470","NY","PAS","03/09/2014",71,"4DSD","BMW","T",18240,8790,61090,"20151216",115,115,115,356560,"T401","G","1218P","","Q","O","37-53","90th St","","0",408,"j6",NA,"","","","GREY",NA,2007,"",0,"17 4","71-Insp. Sticker Missing (NYS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"855",855,2192463,7091676038,"75098JX","NY","COM","10/24/2013",40,"VAN","INTER","T",23490,0,0,"88888888",109,109,109,358919,"T401","I","0156P","","Q","I","N","153rd St","40ft E/of Northern B","0",408,"e2",NA,"YYYYYYY","","","WHITE",NA,2006,"",2,"07 -","40-Fire Hydrant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"856",856,1888894,7727871760,"LGE0622","MD","PAS","10/24/2013",46,"4DSD","MAZDA","T",86630,41730,40230,"20150288",67,67,67,341120,"T802","B","0936P","","K","F","1381","Utica Ave","","0",408,"f1",NA,"","","","RED",NA,0,"",0,"A -","46A-Double Parking (Non-COM)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"857",857,3261462,7472287209,"FTJ5409","NY","PAS","11/08/2013",38,"4DSD","HONDA","T",8240,8590,8690,"20151107",114,114,114,355088,"T401","I","0121P","","Q","O","35-54","32nd St","","0",408,"h1",NA,"Y","0900A","0700P","SILVER",NA,2012,"",0,"48-P","38-Failure to Display Muni Rec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"858",858,2980026,7951548364,"XAZB82","NJ","PAS","10/31/2013",38,"DELV","GMC","T",16310,20640,20090,"20130088",5,5,5,355582,"T101","A","0933A","","NY","F","38","Delancey St","","0",408,"h1",NA,"Y","0900A","0700P","RED",NA,0,"",0,"03 -","38-Failure to Display Muni Rec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"860",860,6683236,7582312260,"GGT6303","NY","PAS","04/19/2014",40,"4DSD","TOYOT","T",35420,54020,66720,"20150519",43,43,43,356325,"T202","O","0706A","","BX","F","1949","Gildersleeve Ave","","0",408,"e2",NA,"YYYYYYY","","","GREY",NA,2012,"",5,"F 22","40-Fire Hydrant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"861",861,5284730,7875591820,"87495JV","NY","COM","02/07/2014",69,"DELV","FRUEH","T",34890,10510,10610,"88888888",18,18,18,332133,"T106","N","0407P","","NY","O","130","W 56th St","","0",408,"h1",NA,"YYYYY","0700A","0600P","WHITE",NA,2006,"",0,"103","69-Failure to Disp Muni Recpt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"862",862,6537351,7090395376,"GKP7688","NY","PAS","04/15/2014",83,"SUBN","FORD","T",24740,10140,10290,"20151105",109,109,109,357709,"T401","O","0314P","","Q","O","45-77","172nd St","","0",408,"j1",NA,"","","","WHITE",NA,2002,"",0,"Y 41","83-Improper Registration",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"863",863,8511295,7781020467,"HBA5215","PA","PAS","06/23/2014",21,"4DSD","VOLKS","T",52120,27090,17700,"20140788",46,46,46,357682,"T201","M","0906A","","BX","F","2151","Morris Ave","","0",408,"d1",NA,"Y  Y","0900A","1030A","BLUE",NA,0,"",0,"O 21","21-No Parking (street clean)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"864",864,1437040,7508652885,"FWZ5089","NY","PAS","09/14/2013",71,"SUBN","GMC","T",10020,27840,71220,"20140323",52,52,52,355297,"T201","X","1013A","","BX","F","3212","Bainbridge Ave","","0",408,"j6",NA,"YYYYYYY","","","BLUE",NA,1997,"",0,"23 -","71A-Insp Sticker Expired (NYS)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"865",865,2712515,7089065534,"72803MB","NY","COM","11/04/2013",38,"VAN","GMC","T",14580,90880,67047,"20150831",62,62,62,357076,"T302","B","0926A","","K","F","154","Avenue T","","0",408,"h1",NA,"Y","0900A","0700P","WHITE",NA,2005,"",0,"33 -","38-Failure to Display Muni Rec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"868",868,2926956,7860779390,"6M64A","NY","OMT","11/22/2013",13,"TAXI","FORD","T",34790,11110,11115,"20140228",18,18,18,358623,"T102","I","1042P","","NY","O","607","W 51st St","","0",408,"c2",NA,"YYYYYYY","","","YELLOW",NA,2010,"",0,"99 -","13-No Stand (taxi stand)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"869",869,3293265,7582731876,"FLA5799","NY","PAS","10/31/2013",21,"SUBN","FORD","T",28440,77150,10620,"20131203",47,47,47,358565,"T202","A","0942A","","BX","O","752","E 227th St","","0",408,"d1",NA,"Y","0930A","1100A","GOLD",NA,2003,"",0,"18A","21-No Parking (street clean)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"871",871,414349,1353482730,"FMV5994","NY","PAS","08/07/2013",70,"SDN","HYUND","T",31390,40604,33985,"20130601",122,122,303,353171,"T303","0000","0819A","","R","F","153","HAMDEN AVE","","0",408,"C",NA,"BBBBBBB","ALL","ALL","GOLD",0,2011,"-",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"872",872,9081516,8003159520,"89478JW","NY","COM","06/13/2014",21,"DELV","MITSU","T",35710,11710,13610,"20150630",24,24,24,356191,"T103","G","1150A","","NY","O","229","W 97th St","","0",408,"d1",NA,"Y  Y","1130A","0100P","WHITE",NA,2007,"",0,"50 7","21-No Parking (street clean)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"873",873,3687455,7553881302,"FHL2955","NY","PAS","12/02/2013",21,"SUBN","LEXUS","T",51730,42030,58330,"20141221",94,94,94,346124,"T301","M","0844A","","K","F","131","Huron St","","0",408,"d1",NA,"Y  Y","0830A","1000A","GREY",NA,2004,"",0,"A -","21-No Parking (street clean)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
